ID,Name,Activity,Detail,Address,Link,Description,longitude,latitude
1,Waimea Valley,Play,Hike,"Waimea Valley Road, Haleiwa, Hawaii 96712",https://thistraveldream.com/waimea-falls/,Waterfall with botanical garden in north shore. Close to shark's cove and food trucks,-158.0576548,21.6378001
2,Hanauma Bay,Play,Snorkel,"7455 Kalanianaʻole Hwy, Honolulu, HI 96825",https://pros2.hnl.info/hanauma-bay,"Popular state park featuring a sandy beach, snorkeling, a coral reef & an education center. Only open Wednesday thru Sunday",-157.6972964,21.2710687
3,Turtle Canyon,Play,Snorkel,"7599+33, Honolulu, HI",https://www.tripadvisor.com/AttractionProductReview-g29222-d11447891-Turtle_Canyon_Catamaran_Snorkel_Cruise_from_Waikiki-Oahu_Hawaii.html,"Nature preserve in Honolulu County, Hawaii",-157.8323125,21.2676875
4,K'Olina Lagoons,Play,Snorkel,"Ulua Lagoon,, Kapolei, HI 96707",http://koolina.com/destination/lagoons/,Ko Olina encompasses 642 acres featuring a string of four jewel-like lagoons connected by more than a mile and a half of seaside pathways.,-158.0823892,21.3337389
5,Kualoa Ranch,Play,ATV,"49-560 Kamehameha Hwy, Kaneohe, HI 96744",https://www.kualoa.com/jurassic-adventure-tour/,"Kualoa is a 4,000-acre private nature reserve and working cattle ranch, as well as a popular tourist attraction and filming location on the windward coast of Oʻahu in Hawaiʻi. It is about 24 miles from Honolulu, and 32 miles from Haleiwa",-157.837278,21.520742
6,Moana Lani Spa,Play,Spa,"2365 Kalākaua Ave, Honolulu, HI 96815",https://www.moanalanispa.com/,"With luxurious facilities and a warm staff that embodies the aloha spirit, Moana Lani Spa has been recognized as one of the best spas in Hawaii and the country.",-157.8266361,21.2765462
7,Dole Plantation,Play,Tour,"64-1550 Kamehameha Hwy, Wahiawa, HI 96786",https://www.doleplantation.com/,Historic pineapple plantation now attracts families with a train ride & the world's largest maze.,-158.0377136,21.5260075
8,Iolani Palace,Play,Tour,"364 S King St, Honolulu, HI 96813",https://www.iolanipalace.org/,"The ʻIolani Palace was the royal residence of the rulers of the Kingdom of Hawaiʻi beginning with Kamehameha III under the Kamehameha Dynasty and ending with Queen Liliʻuokalani under the Kalākaua Dynasty, founded by her brother, King David Kalākaua",-157.8587331,21.3068174
9,Byodo-In Temple,Play,Tour,"47-200 Kahekili Hwy, Kaneohe, HI 96744",https://byodo-in.com/,The Byodo-In Temple is a non-denominational Buddhist temple located on the island of Oʻahu in Hawaiʻi in Valley of the Temples Memorial Park. It was dedicated in August 1968 to commemorate the 100th anniversary of the first Japanese immigrants to Hawaiʻi,-157.8322482,21.4306937
10,Shangri La,Play,Tour,"4055 Pāpū Cir, Honolulu, HI 96816",https://www.shangrilahawaii.org/,"The Shangri La Museum of Islamic Art, Culture & Design is housed in the former home of Doris Duke near Diamond Head just outside Honolulu, Hawaii. It is now owned and operated as a public museum of the arts and cultures of the Islamic world by the Doris Duke Foundation for Islamic Art.",-157.7949294,21.2568499
11,Lanikai Beach,Play,Beach,"Lanikai Beach, Kailua, HI 96734",https://www.best-of-oahu.com/Lanikai-Beach-Oahu-Hawaii.html,White sand beach with turqoise water,-157.7151208,21.3925378
12,Kailua Beach Park,Play,Beach,"526 Kawailoa Rd, Kailua, HI 96734",https://www.kailuabeachadventures.com/kailua-beach-park,"Clear water, fine white sand & accessible facilities make this a popular spot for aquatic activities.",-157.7271126,21.3975749
13,Moanoa Falls,Play,Hike,"Manoa Falls, Honolulu, HI 96822",https://www.best-of-oahu.com/manoa-falls.html,"Manoa Falls is a 150-foot waterfall along the Manoa Falls Trail in Honolulu, Hawaii. Swimming in the pool below the waterfall is highly discouraged because there is a threat of becoming infected with Leptospirosis, a disease causing mild to moderate flulike symptoms that can last for 1 to 2 weeks.",-157.7992015,21.3420389
14,Bishop Museum,Play,Tour,"1525 Bernice St, Honolulu, HI 96817",https://www.bishopmuseum.org/,"The Bernice Pauahi Bishop Museum, designated the Hawaiʻi State Museum of Natural and Cultural History, is a museum of history and science in the historic Kalihi district of Honolulu on the Hawaiian island of Oʻahu.",-157.8705315,21.3327971
15,Plumeria Café,Eat,Brunch,"5000 Kahala Ave Honolulu, HI 96816",https://www.kahalaresort.com/Dining/Plumeria-Beach-House,"Comfortable & Casual. On the edge of the white sands of Kahala, the oceanside Plumeria Beach House is our open-air, all day dining restaurant.",-157.772822,21.2721819
16,Hoku's at the Kahala,Eat,Brunch,"5000 Kahala Ave, Honolulu, HI 96816",https://www.hokuskahala.com/,"Sophisticated Pacific Rim fare served beachside at the Kahala Hotel, plus a lavish Sunday brunch.",-157.772822,21.2721819
17,Aiea Bowl,Eat,Snack,"3 Aiea Shopping Center, 99-115 Aiea Heights Dr, Aiea, HI 96701",http://www.aieabowl.com/,"From Dustin - Bowling center has nightly themes, from Glow Bowling to DJs, plus party packages & The Alley eatery.",-157.9302542,21.3790792
18,Uncle Clay's,Eat,Shave Ice,"820 W Hind Dr #116, Honolulu, HI 96821",https://houseofpurealoha.com/menu/,"Bright, casual shop for all-natural Hawaiian shave ice made using locally sourced artisanal syrups.",-157.7538704,21.2791319
19,Wailoa Shave Ice,Eat,Shave Ice,"2135 Waiola St, Honolulu, HI 96826",https://www.instagram.com/waiolashaveice/?hl=en,"Quaint, pint-sized grocery store is a local draw for its counter-serve shave ice & ice cream.",-157.8286388,21.2924603
20,Island Snow,Eat,Shave Ice,"130 Kailua Rd, Kailua, HI 96734",www.islandsnow.com,"Local institution for athletic clothing from popular Hawaiian brands, with a shave-ice machine.",-157.7310944,21.3969179
21,Koko Head Café,Eat,Breakfast,"1120 12th Ave #100, Honolulu, HI 96816",https://www.kokoheadcafe.com/brunchallday/food,"Celeb chef Lee Anne Wong runs this brunch stop for breakfast udon, congee & other Pan-Asian eats.",-157.7996241,21.2816303
22,Island Vintage Coffee,Eat,Breakfast,"2301 Kalākaua Ave #C215, Honolulu, HI 96815",https://www.islandvintagecoffee.com/pages/waikiki-royal-hawaiian-center-eng,"Breakfast, homestyle cooking & health-conscious bowls served in a laid-back eatery within a mall.",-157.8286301,21.2784002
23,Boots and Kimo,Eat,Breakfast,"1020 Keolu Dr, Kailua, HI 96734",http://bootsnkimos.com/,"Casual restaurant serving Hawaiian-American breakfast & lunch dishes, with patio seating available.",-157.7289056,21.3784283
24,Mokes Bread and Breakfast,Eat,Breakfast,"1127 11th Ave, Honolulu, HI 96816",http://www.mokeshawaii.com/,Breakfast & Brunch Restaurant. Lilikoi Pancakes & Hawaii Based Brunch,-157.8003227,21.2822993
25,Liliha Bakery,Eat,Breakfast,"2330 Kalākaua Ave #326, Honolulu, HI 96815",https://www.lilihabakery.com/,"Home to the original Coco Puff, Poi Mochi Donuts, and Chantilly Cake. Open for breakfast, lunch, and dinner in Honolulu, Hawaii.",-157.8265621,21.278252
26,Musubi Café Iyasume,Eat,Breakfast,"227 Lewers St. Honolulu, HI 96815",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.8306647,21.2789295
27,Musubi Café Iyasume,Eat,Breakfast,"2427 Kuhio Ave,
Pacific Monarch Hotel 1F,
Honolulu, HI 96815",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.8237158,21.276644
28,Musubi Café Iyasume,Eat,Breakfast,"334 Seaside Ave, Honolulu, HI 96815",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.8279415,21.2796225
29,Musubi Café Iyasume,Eat,Breakfast,"1450 Ala Moana Boulevard,
Honolulu, HI 96814",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.8460375,21.2918195
30,Musubi Café Iyasume,Eat,Breakfast,"638 Keeaumoku St.,
Honolulu, HI 96814",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.8423906,21.294198
31,Musubi Café Iyasume,Eat,Breakfast,"4211 Waialae Ave, #G-19,
Honolulu, HI 96816",https://iyasumehawaii.com/,Straightforward takeaway specializing in rice balls with luncheon meat and/or sushi.,-157.7859118,21.2769457
32,Honolulu Kitchen,Eat,Breakfast,"94-861 Farrington Hwy, Waipahu, HI 96797",https://www.yelp.com/biz/honolulu-kitchen-waipahu,"Asian & Chinese fare plus signature fried buns in many flavors, served at a counter in humble digs.",-158.0025418,21.383843
33,Pipeline Bakeshop,Eat,Breakfast,"3632 Waialae Ave, Honolulu, HI 96816",https://pipelinebakeshop.com/,"Scooping house-made ice cream, this dessert spot also offers baked goods including malasadas.",-157.798456,21.282622
34,Ono Seafood,Eat,Poke,"747 Kapahulu Ave, Honolulu, HI 96816",https://onolicioushawaii.com/ono-seafood/,"Locals flock to this no-frills eatery for the variety of ahi poke & a chill, laid-back atmosphere.",-157.813842,21.2810565
35,Foodland,Eat,Poke,"1450 Ala Moana Blvd, Honolulu, HI 96814",https://shop.foodland.com/,"Local supermarket chain with departments for produce, general groceries & Hawaiian specialties.",-157.8460375,21.2918195
36,Foodland,Eat,Poke,"2939 Harding Ave, Honolulu, HI 96816",https://shop.foodland.com/,"Local supermarket chain with departments for produce, general groceries & Hawaiian specialties.",-157.8139525,21.2879299
37,Alicia's Market,Eat,Poke,"267 Mokauea St, Honolulu, HI 96819",http://www.aliciasmarket.com/,"Convenience store offering produce, seafood, & spirits, plus cooked Hawaiian & Chinese entrees.",-157.8846568,21.3243992
38,Leonard's Bakery,Eat,Snack,"933 Kapahulu Ave, Honolulu, HI 96816",http://www.leonardshawaii.com/,"Local fixture since 1952 for malasadas (Portuguese donuts), breads, pastries & other sweets.",-157.8132698,21.2849227
39,Kona Coffee Purveyor,Eat,Snack,"2330 Kalākaua Ave #160, Honolulu, HI 96815",http://konacoffeepurveyors.com/,"A stylish spot for artisan Kona coffee & b. patisserie baked goods, plus wine in the evenings.",-157.825621,21.278831
40,PaaLaa Kai Bakery,Eat,Snack,"66-935 Kaukonahua Rd, Waialua, HI 96791",http://www.pkbsweets.com/,"Baker specializing in malassadas, or Portuguese donuts, plus the snow puffy, an original pastry.",-158.1095589,21.5688616
41,Scratch Kitchen,Eat,Snack,"1170 Auahi St Suite 175, Honolulu, HI 96814",http://www.scratch-hawaii.com/,Relaxed spot serving creative takes on global comfort foods with cocktails in funky digs.,-157.8504644,21.2933715
42,Marugame Udon,Eat,Snack,"2310 Kūhiō Ave., Honolulu, HI 96815",https://www.marugameudon.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,Guests order at the counter at this casual Japanese restaurant specializing in noodle soup.,-157.8258444,21.2796528
43,Tim Ho Wan,Eat,Snack,"2233 Kalākaua Ave suite b-303, Honolulu, HI 96815",http://timhowanusa.com/locations/,Dim sum restaurant,-157.8294654,21.2788413
44,Bob's Pizzeria,Eat,Snack,"130 Kailua Rd #112, Kailua, HI 96734",http://bobspizzeriakailua.com/,Pizza restaurant,-157.7309081,21.3969801
45,Ramen Nakamura,Eat,Snack,"2141 Kalākaua Ave #1, Honolulu, HI 96815",https://www.yelp.com/biz/ramen-nakamura-honolulu,"Casual, contemporary eatery featuring many varieties of ramen, plus gyoza & fried rice.",-157.8307149,21.2812775
46,Rainbow Drive,Eat,Lunch,"3308 Kanaina Ave, Honolulu, HI 96815",https://rainbowdrivein.com/menu/,"Iconic counter-serve spot for Hawaiian plate lunches features BBQ, mahi mahi, chili dogs & more.",-157.8145272,21.2759342
47,Kono's Northshore,Eat,Lunch,"2310 Kūhiō Ave. #1-A, Honolulu, HI 96815",https://www.konosnorthshore.com/,best Kalua pig on the islands in the form of our award-winning breakfasts and plate lunches which are served alongside our hand-crafted milkshakes and freshly squeezed limeade and lemonades throughout the day.,-157.8258444,21.2796528
48,Ono Steak n Shrimp Shack,Eat,Lunch,"41-037 Wailea St, Waimanalo, HI 96795",https://www.yelp.com/biz/ono-steaks-and-shrimp-shack-waimanalo,"Funky, brightly colored counter serve for seafood, burgers & Hawaiian specialties like loco moco.",-157.6972148,21.333408
49,Tonkatsu Ginza Bairin,Eat,Lunch,"255 Beach Walk, Honolulu, HI 96815",https://www.ginzabairinhawaii.com/full-menu/,"Cozy restaurant specializing in Japanese breaded pork cutlets, plus seafood & poultry options.",-157.8309674,21.2800064
50,Tonkatsu Tamafuji,Eat,Lunch,"449 Kapahulu Ave, Honolulu, HI 96815",https://tamafuji-us.com/menu-en.html,Lively 2nd-floor eatery drawing crowds for house-special breaded pork entrees & other Japanese grub.,-157.8153888,21.2748857
51,Lucky Belly,Eat,Lunch,"50 N Hotel St, Honolulu, HI 96817",https://luckybellyhi.com/,Reclaimed wood & brick walls adorn this hip Asian eatery featuring a window for takeaway.,-157.8623772,21.3117452
52,Piggy Small,Eat,Lunch,"1200 Ala Moana Blvd, Honolulu, HI 96814",https://thepigandthelady.com/piggysmalls,"Hip, relaxed restaurant offering creative Vietnamese sandwiches, noodle dishes, pho & other eats.",-157.8520883,21.2927179
53,I-Naba,Eat,Lunch,"1610 S King St # A, Honolulu, HI 96826",https://inabahonolulu.com/,"Unassuming destination serving Japanese classics including soba, tempura & sushi.",-157.8356639,21.2971806
54,Helena's,Eat,Dinner,"1240 N School St, Honolulu, HI 96817",https://www.helenashawaiianfood.com/,"Pared-down restaurant specializing in local classics such as kalua pork, lomi salmon & ribs.",-157.8651412,21.330993
55,Hau Tree,Eat,Dinner,"2863 Kalakaua Avenue, Lobby floor of the Kaimana Beach Hotel, Honolulu, HI 96815",https://www.kaimana.com/dining,Seaside eatery doling out creative Pacific Rim fare & brunch at the New Otani Kaimana Beach Hotel.,-157.8211603,21.2632657
56,Pig n Lady,Eat,Dinner,"83 N King St, Honolulu, HI 96817",https://thepigandthelady.com/,"Featuring globally accented, modern Vietnamese cooking in a lively setting with communal tables.",-157.8636749,21.3114491
57,Golden Pork,Eat,Ramen,"1279 S King St, Honolulu, HI 96814",https://golden-pork-tonkotsu-ramen-bar.business.site/,Japanese noodles & small plates served with sake & beer in a comfortable setting.,-157.8424298,21.2990592
58,Santouka,Eat,Ramen,"801 Kaheka St A-8, Honolulu, HI 96814",https://www.yelp.com/biz/hokkaido-ramen-santouka-honolulu,Hokkaido Ramen Santouka,-157.8389081,21.2935014
59,Off the Hook,Eat,Dinner,"2908 E Manoa Rd, Honolulu, HI 96822",https://www.offthehookpokemarket.com/,"We started Off The Hook Poke Market in 2018 with one goal in mind: to serve the freshest and best Poke in Hawaii. Thanks to our hard working and dedicated crew, in 2019 we won the Ilima Award for Hawaii's Best Seafood Restaurant.",-157.8102269,21.3099668
60,Tanioka's,Eat,Dinner,"94-903 Farrington Hwy, Waipahu, HI 96797",http://www.taniokas.com/,"This veteran, casual restaurant open for breakfast & lunch specializes in Hawaiian seafood classics.",-158.0011292,21.3841751
61,Shimazu,Eat,Shave Ice,"3111 Castle St, Honolulu, HI 96815",https://www.instagram.com/shimazu_shave_ice/?hl=en,Shaved Ice,-157.8144341,21.2760095
62,Monsarrat Shave Ice Natural Organic Fruit,Eat,Shave Ice,"3046 Monsarrat Ave, Honolulu, HI 96815",https://www.instagram.com/monsarratshaveice/?hl=en,Monsarrat Shave Ice Natural Organic Fruit,-157.8136889,21.2692115
63,Sweet E's,Eat,Breakfast,"1006 Kapahulu Ave, Honolulu, HI 96816",https://sweetescafe.com/,French toast & other breakfast/brunch dishes in a cozy space with comfy-chic decor.,-157.8135841,21.2861663
64,Over Easy,Eat,Breakfast,"418 Kuulei Rd #103, Kailua, HI 96734",https://www.easyquehi.com/,"Cheery spot for creative breakfast & lunch made using local ingredients, plus cocktails.",-157.7431179,21.3950809
65,Cinnamons,Eat,Breakfast,"315 Uluniu St, Kailua, HI 96734",https://cinnamons808.com/,"Breakfast & lunch menus including red velvet pancakes, cinnamon buns & crab cakes in a casual space.",-157.7420851,21.3968611
66,Tamura's Fine Wine & Liquors Aikahi,Eat,Poke,"25 Kaneohe Bay Dr #106, Kailua, HI 96734",http://tamurasfinewine.com/,"Store with a wide variety of beers, wines, spirits & cigars, plus some artisanal foodstuffs.",-157.7485415,21.4234336
67,Fort Ruger Market,Eat,Poke,"3585 Alohea Ave, Honolulu, HI 96816",https://www.instagram.com/rugermarket/?hl=en,"Hawaiian & Filipino specialties served in an enduring, down-to-earth fixture also selling groceries.",-157.8049799,21.2717986
68,Adelas Country Eatery,Eat,Lunch,"45-1151 Kamehameha Hwy #2, Kaneohe, HI 96744",https://adelascountryeatery.com/,"Comfy carry-out option spotlighting homemade Hawaiian pasta, plus Asian & American eats.",-157.8014339,21.4183688
69,Poke By the Pound,Eat,Poke,"322 Kalihi St, Honolulu, HI 96819",https://www.pokebythepound.com/,"We properly cure and store all fish until it's ready to be turned into some of your favorite poke. When you buy from us, know you're getting the freshest product and supporting the local fishermen of Hawaii.",-157.882038,21.3246646
